"title","artist","region","total_streams","ranking"
"Devia Ir","Wet Bed Gang","Portugal",14872626,2
"Shape of You","Ed Sheeran","Portugal",12772502,3
"Bairro","Wet Bed Gang","Portugal",11459381,4
"Te Amo","Calema","Portugal",11095415,5
"Blinding Lights","The Weeknd","Romania",4918834,1
"HIGHEST IN THE ROOM","Travis Scott","Romania",4662581,2
"SICKO MODE","Travis Scott","Romania",4272690,3
"goosebumps","Travis Scott","Romania",4171670,4
"Roses - Imanbek Remix","SAINt JHN","Romania",4020060,5
"Дежавю","kizaru","Russia",19170333,1
"Снова я напиваюсь","SLAVA MARLOW","Russia",15658666,2
"Blinding Lights","The Weeknd","Russia",14707851,3
"Москва любит...","Scriptonite","Russia",14389023,4
"Положение","Scriptonite","Russia",14216016,5
"Al Mafrood","Aseel Hameem","Saudi Arabia",6561924,1
"Dance Monkey","Tones And I","Saudi Arabia",5828748,2
"وناسه","DJ-MK","Saudi Arabia",5432895,3
"Warqa","Saif Amer","Saudi Arabia",4997581,4
"Astronaut In The Ocean","Masked Wolf","Saudi Arabia",4769402,5
"Shape of You","Ed Sheeran","Singapore",28373434,1
"Say You Won't Let Go","James Arthur","Singapore",25268852,2
"Perfect","Ed Sheeran","Singapore",24663286,3
"Someone You Loved","Lewis Capaldi","Singapore",23700546,4
"Señorita","Shawn Mendes, Camila Cabello","Singapore",23271432,5
"Blinding Lights","The Weeknd","Slovakia",4324487,1
"Dance Monkey","Tones And I","Slovakia",3669818,2
"Viac","Nerieš, Separ","Slovakia",3296417,3
"Roses - Imanbek Remix","SAINt JHN","Slovakia",3277481,4
"Lepšia Pesnička","DMS","Slovakia",3058376,5
"Blinding Lights","The Weeknd","South Africa",6320618,1
"Someone You Loved","Lewis Capaldi","South Africa",5642338,2
"Dance Monkey","Tones And I","South Africa",5440208,3
"Circles","Post Malone","South Africa",4656508,4
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee","South Africa",4583090,5
"Butter","BTS","South Korea",3500142,1
"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber","South Korea",2678100,2
"Dynamite","BTS","South Korea",2442578,3
"STAY (with Justin Bieber)","The Kid LAROI","South Korea",2317087,4
"Next Level","aespa","South Korea",2251282,5
"Tusa","KAROL G, Nicki Minaj","Spain",127760277,1
"DÁKITI","Bad Bunny, Jhay Cortez","Spain",112381282,2
"Me Rehúso","Danny Ocean","Spain",110888076,3
"Todo De Ti","Rauw Alejandro","Spain",106026431,4
"Tú Me Dejaste De Querer","C. Tangana, Niño de Elche, La Húngara","Spain",100203644,5
"Svag","Victor Leksell","Sweden",93720518,1
"Without You (feat. Sandro Cavazza)","Avicii","Sweden",80992219,2
"Shape of You","Ed Sheeran","Sweden",80208966,3
"Blinding Lights","The Weeknd","Sweden",74424481,4
"Dance Monkey","Tones And I","Sweden",68519030,5
"Dance Monkey","Tones And I","Switzerland",22023157,1
"Blinding Lights","The Weeknd","Switzerland",18784381,2
"Shape of You","Ed Sheeran","Switzerland",17784590,3
"Someone You Loved","Lewis Capaldi","Switzerland",17771894,4
"Shallow","Lady Gaga, Bradley Cooper","Switzerland",14622315,5
"Without You","高爾宣 OSN","Taiwan",26531472,1
"怎麼了","Eric Chou","Taiwan",26332989,2
"想見你想見你想見你(電視劇""想見你""片尾曲)","831","Taiwan",23921097,3
"刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","Crowd Lu","Taiwan",21531328,4
"浪流連","EggPlantEgg","Taiwan",21229052,5
"ฝนตกไหม","Three Man Down","Thailand",29113638,1
"คิด(แต่ไม่)ถึง (Same Page?)","Tilly Birds","Thailand",29021261,2
"นิโคติน","Mirrr","Thailand",24864189,3
"ภาวนา","MEYOU","Thailand",21316518,4
"ลงใจ","BOWKYLION","Thailand",20346446,5
"Seni Dert Etmeler","Madrigal","Turkey",79228627,1
"Bi Sonraki Hayatımda Gel","Murda, Ezhel","Turkey",71648569,2
"Geceler","Ezhel","Turkey",70543099,3
"AYA","Murda, Ezhel","Turkey",69732124,4
"Dinle Beni Bi'","Yüzyüzeyken Konuşuruz","Turkey",68863596,5
"Дежавю","kizaru","Ukraine",3925847,1
"Blinding Lights","The Weeknd","Ukraine",3481096,2
"Снова я напиваюсь","SLAVA MARLOW","Ukraine",3139954,3
"Положение","Scriptonite","Ukraine",2877479,4
"Astronaut In The Ocean","Masked Wolf","Ukraine",2781845,5
"Blinding Lights","The Weeknd","United Arab Emirates",3118031,1
"Señorita","Shawn Mendes, Camila Cabello","United Arab Emirates",2735532,2
"Someone You Loved","Lewis Capaldi","United Arab Emirates",2726160,3
"Dance Monkey","Tones And I","United Arab Emirates",2625748,4
"The Box","Roddy Ricch","United Arab Emirates",2381071,5
"Someone You Loved","Lewis Capaldi","United Kingdom",212781251,1
"Shape of You","Ed Sheeran","United Kingdom",205535453,2
"Mr. Brightside","The Killers","United Kingdom",168501066,3
"Blinding Lights","The Weeknd","United Kingdom",166348660,4
"Dance Monkey","Tones And I","United Kingdom",147020424,5
